{'id': '0'}	{'y': '77', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '152'}
{'id': '99'}	{'y': '64', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '145'}
{'id': '100'}	{'y': '64', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '146'}
{'id': '101'}	{'y': '62', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '147'}
{'y': '32', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '55'}
{'y': '65', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '60'}
{'id': '102'}	{'y': '64', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '147'}
{'y': '36', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '66'}
{'y': '66', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '59'}
{'id': '103'}	{'y': '40', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '66'}
{'y': '66', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '59'}
{'y': '64', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '147'}
{'id': '104'}	{'y': '44', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '61'}
{'y': '71', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '95'}
{'y': '67', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '145'}
{'id': '105'}	{'y': '46', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '62'}
{'y': '71', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '96'}
{'y': '71', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '150'}
{'id': '106'}	{'y': '69', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '98'}
{'y': '71', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '147'}
{'id': '107'}	{'y': '73', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '34', 'x': '143'}
{'y': '69', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '13', 'x': '98'}
{'id': '108'}	{'y': '73', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '32', 'x': '143'}
{'y': '69', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '95'}
{'y': '58', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '14', 'x': '70'}
{'id': '109'}	{'y': '73', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '143'}
{'y': '69', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '90'}
{'y': '58', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '14', 'x': '70'}
{'id': '110'}	{'y': '73', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '142'}
{'id': '111'}	{'y': '75', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '142'}
{'y': '63', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '71'}
{'id': '112'}	{'y': '62', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '71'}
{'y': '75', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '140'}
{'id': '113'}	{'y': '75', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '141'}
{'id': '114'}	{'y': '40', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '57'}
{'y': '68', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '140'}
{'id': '120'}	{'y': '39', 'h': '34', 'fish_species': 'Dascyllus Reticulatus', 'w': '38', 'x': '55'}
{'id': '124'}	{'y': '76', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '150'}
{'id': '125'}	{'y': '73', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '149'}
{'y': '42', 'h': '36', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '76'}
{'id': '126'}	{'y': '44', 'h': '33', 'fish_species': 'Dascyllus Reticulatus', 'w': '34', 'x': '83'}
{'y': '74', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '149'}
{'id': '127'}	{'y': '46', 'h': '36', 'fish_species': 'Dascyllus Reticulatus', 'w': '34', 'x': '91'}
{'y': '73', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '149'}
{'id': '129'}	{'y': '79', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '153'}
{'id': '130'}	{'y': '79', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '156'}
{'id': '131'}	{'y': '76', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '164'}
{'id': '135'}	{'y': '60', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '162'}
{'id': '136'}	{'y': '57', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '163'}
{'y': '81', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '126'}
{'id': '137'}	{'y': '62', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '165'}
{'y': '83', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '128'}
{'y': '75', 'h': '13', 'fish_species': 'Dascyllus Reticulatus', 'w': '14', 'x': '83'}
{'id': '138'}	{'y': '17', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '72'}
{'y': '77', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '176'}
{'id': '139'}	{'y': '78', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '183'}
{'id': '140'}	{'y': '78', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '203'}
{'id': '141'}	{'y': '75', 'h': '32', 'fish_species': 'Dascyllus Reticulatus', 'w': '34', 'x': '195'}
{'id': '143'}	{'y': '80', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '176'}
{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '145'}
{'id': '144'}	{'y': '83', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '173'}
{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '147'}
{'id': '145'}	{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '147'}
{'y': '17', 'h': '44', 'fish_species': 'Dascyllus Reticulatus', 'w': '32', 'x': '97'}
{'id': '146'}	{'y': '29', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '49', 'x': '83'}
{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '147'}
{'id': '147'}	{'y': '41', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '49', 'x': '62'}
{'id': '148'}	{'y': '46', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '47', 'x': '50'}
{'id': '149'}	{'y': '46', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '47', 'x': '31'}
{'id': '150'}	{'y': '45', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '45', 'x': '16'}
{'y': '87', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '160'}
{'id': '151'}	{'y': '42', 'h': '42', 'fish_species': 'Dascyllus Reticulatus', 'w': '41', 'x': '9'}
{'id': '152'}	{'y': '30', 'h': '48', 'fish_species': 'Dascyllus Reticulatus', 'w': '38', 'x': '1'}
{'id': '163'}	{'y': '68', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '92'}
{'id': '165'}	{'y': '69', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '32', 'x': '155'}
{'id': '166'}	{'y': '68', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '160'}
{'id': '167'}	{'y': '63', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '167'}
{'id': '168'}	{'y': '63', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '169'}
{'id': '169'}	{'y': '68', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '169'}
{'id': '170'}	{'y': '75', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '172'}
{'id': '177'}	{'y': '0', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '283'}
{'id': '178'}	{'y': '1', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '288'}
{'y': '81', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '154'}
{'id': '179'}	{'y': '11', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '294'}
{'y': '98', 'h': '11', 'fish_species': 'Dascyllus Reticulatus', 'w': '13', 'x': '161'}
{'y': '81', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '170'}
{'id': '180'}	{'y': '21', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '297'}
{'y': '97', 'h': '11', 'fish_species': 'Dascyllus Reticulatus', 'w': '13', 'x': '160'}
{'y': '74', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '192'}
{'id': '181'}	{'y': '28', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '299'}
{'y': '95', 'h': '14', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '156'}
{'id': '182'}	{'y': '94', 'h': '14', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '155'}
{'id': '183'}	{'y': '85', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '173'}
{'y': '94', 'h': '14', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '155'}
{'id': '184'}	{'y': '13', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '5'}
{'y': '160', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '33', 'x': '208'}
{'y': '87', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '169'}
{'y': '94', 'h': '14', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '155'}
{'id': '185'}	{'y': '84', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '156'}
{'id': '186'}	{'y': '82', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '151'}
{'id': '198'}	{'y': '1', 'h': '14', 'fish_species': 'Abudefduf Vaigiensis', 'w': '25', 'x': '271'}
{'y': '14', 'h': '12', 'fish_species': 'Amphiprion Clarkii', 'w': '17', 'x': '108'}
{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '12', 'x': '146'}
{'id': '199'}	{'y': '1', 'h': '14', 'fish_species': 'Abudefduf Vaigiensis', 'w': '25', 'x': '263'}
{'y': '93', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '12', 'x': '146'}
{'y': '12', 'h': '12', 'fish_species': 'Amphiprion Clarkii', 'w': '17', 'x': '112'}
{'id': '200'}	{'y': '1', 'h': '14', 'fish_species': 'Abudefduf Vaigiensis', 'w': '25', 'x': '251'}
{'y': '93', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '146'}
{'id': '201'}	{'y': '93', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '146'}
{'id': '206'}	{'y': '2', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '129'}
{'y': '89', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '151'}
{'id': '207'}	{'y': '89', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '154'}
{'y': '49', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '229'}
{'y': '1', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '136'}
{'id': '208'}	{'y': '53', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '229'}
{'y': '1', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '137'}
{'y': '88', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '155'}
{'id': '209'}	{'y': '3', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '142'}
{'id': '210'}	{'y': '5', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '147'}
{'id': '211'}	{'y': '156', 'h': '30', 'fish_species': 'Chaetodon Trifascialis', 'w': '55', 'x': '229'}
{'id': '212'}	{'y': '156', 'h': '29', 'fish_species': 'Chaetodon Trifascialis', 'w': '54', 'x': '235'}
{'id': '213'}	{'y': '56', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '196'}
{'y': '156', 'h': '29', 'fish_species': 'Chaetodon Trifascialis', 'w': '54', 'x': '235'}
{'id': '214'}	{'y': '58', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '190'}
{'id': '215'}	{'y': '61', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '181'}
{'id': '218'}	{'y': '29', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '168'}
{'id': '219'}	{'y': '29', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '169'}
{'id': '220'}	{'y': '29', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '173'}
{'id': '221'}	{'y': '26', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '177'}
{'id': '222'}	{'y': '24', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '180'}
{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '149'}
{'id': '223'}	{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '149'}
{'id': '224'}	{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '149'}
{'id': '225'}	{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '153'}
{'id': '226'}	{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '151'}
{'id': '227'}	{'y': '90', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '151'}
{'y': '52', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '3'}
{'id': '228'}	{'y': '90', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '151'}
{'y': '51', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '3'}
{'y': '26', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '200'}
{'y': '3', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '162'}
{'id': '229'}	{'y': '3', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '163'}
{'y': '30', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '206'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'y': '49', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '4'}
{'id': '230'}	{'y': '37', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '212'}
{'y': '3', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '169'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'y': '49', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '4'}
{'id': '231'}	{'y': '6', 'h': '24', 'fish_species': 'Amphiprion Clarkii', 'w': '27', 'x': '172'}
{'y': '40', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '217'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'y': '49', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '35', 'x': '4'}
{'id': '232'}	{'y': '10', 'h': '26', 'fish_species': 'Amphiprion Clarkii', 'w': '29', 'x': '174'}
{'y': '39', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '222'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'y': '49', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '35', 'x': '4'}
{'id': '233'}	{'y': '20', 'h': '30', 'fish_species': 'Amphiprion Clarkii', 'w': '27', 'x': '182'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '234'}	{'y': '36', 'h': '29', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '188'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '235'}	{'y': '45', 'h': '23', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '193'}
{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '236'}	{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '237'}	{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '238'}	{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '239'}	{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '154'}
{'id': '240'}	{'y': '90', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '154'}
{'id': '241'}	{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '153'}
{'id': '249'}	{'y': '61', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '156'}
{'id': '250'}	{'y': '55', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'id': '251'}	{'y': '47', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '162'}
{'id': '252'}	{'y': '51', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '159'}
{'y': '15', 'h': '21', 'fish_species': 'Amphiprion Clarkii', 'w': '32', 'x': '186'}
{'id': '253'}	{'y': '18', 'h': '21', 'fish_species': 'Amphiprion Clarkii', 'w': '32', 'x': '178'}
{'y': '55', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '157'}
{'id': '254'}	{'y': '66', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '153'}
{'id': '255'}	{'y': '67', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '154'}
{'id': '256'}	{'y': '65', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '153'}
{'id': '257'}	{'y': '62', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '154'}
{'id': '258'}	{'y': '63', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '151'}
{'id': '259'}	{'y': '64', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '33', 'x': '150'}
{'id': '260'}	{'y': '71', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '33', 'x': '146'}
{'id': '261'}	{'y': '79', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '37', 'x': '145'}
{'id': '262'}	{'y': '80', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '35', 'x': '147'}
{'id': '271'}	{'y': '11', 'h': '21', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '159'}
{'id': '272'}	{'y': '12', 'h': '25', 'fish_species': 'Amphiprion Clarkii', 'w': '33', 'x': '161'}
{'id': '273'}	{'y': '18', 'h': '25', 'fish_species': 'Amphiprion Clarkii', 'w': '33', 'x': '169'}
{'id': '274'}	{'y': '22', 'h': '22', 'fish_species': 'Amphiprion Clarkii', 'w': '31', 'x': '176'}
{'id': '275'}	{'y': '31', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '189'}
{'id': '276'}	{'y': '31', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '33', 'x': '191'}
{'id': '277'}	{'y': '30', 'h': '16', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '199'}
